LoksabhaName,VidhansabhaName,LocalUnitName,LocalUnitType
Tonk-Sawaimadhopur,Sawai Madhopur,Chakeri,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Chharoda,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Dobra Kalan (दोबडा कलां),Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Dondri (दोंदरी),Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Doongri,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Endwa,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Gambheera,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Gogor (गोगोर),Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Himmatpura (हिम्मतपुरा),Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Jarawata,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Jatwara Kalan,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Jeenapur,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Karmoda,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Khatupura,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Khilchipur,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Kundera,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Lorwara,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Makholi,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Menpura,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Needarda,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Olwara,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Pacheeplya (पचीपल्या‍),Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Padhana,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Ramri,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Ranwal,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Seloo,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Sherpur,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Shyampura,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Sinoli (सिनोली),Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Soorwal,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Sunari,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Aniyala (अनियाला),Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Bahter,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Bhadoti,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Bharja Nadi (भारजा नदी),Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Bhookha,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Bichchhi Dona,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Chak Biloli,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Chandnoli (चांदनोली),Gram Panchayat
